stem,folders
20190908-_DSC5197,2019.10;2019.11
20190908-_DSC5227,2019.10;2019.11
20190908-_DSC5228,2019.10;2019.11
20190908-_DSC5229,2019.10;2019.11
C0013T01,2018.6;2018.7
DJI_0018,2018.4;2018.5
DJI_0023,2018.4;2018.5
DJI_0042,2018.5;2022
DSC_1955,2024.7;2024.8
DSC_1958,2024.7;2024.8
IMG_0125,2024.4;2024.5
IMG_0129,2024.4;2024.5
IMG_0301,2024.4;2024.6
IMG_0351,2024.4;2024.6
IMG_0362,2024.4;2024.6
IMG_0368,2024.4;2024.6
IMG_0373,2024.4;2024.6
IMG_0596,2024.4;2024.6
IMG_0611,2024.4;2024.6
IMG_0614,2024.4;2024.6
IMG_0626,2024.4;2024.6
IMG_0677,2024.4;2024.6
IMG_0765,2024.4;2024.6
IMG_0791,2024.4;2024.6
IMG_0949,2024.6;2024.7
IMG_0961,2024.6;2024.7
IMG_0963-2,2024.6;2024.7
IMG_0964,2024.6;2024.7
IMG_0965-2,2024.6;2024.7
IMG_0966,2024.6;2024.7
IMG_0967,2024.6;2024.7
IMG_0968,2024.6;2024.7
IMG_0969,2024.6;2024.7
IMG_0972,2024.6;2024.7
IMG_0982,2024.6;2024.7
IMG_0988,2024.6;2024.7
IMG_0991,2024.6;2024.7
IMG_1005,2024.6;2024.7
IMG_1011,2024.6;2024.7
IMG_1012,2024.6;2024.7
IMG_1015-2,2024.6;2024.7
IMG_1018,2024.6;2024.7
IMG_1022,2024.6;2024.7
IMG_1023,2024.6;2024.7
IMG_1025,2024.6;2024.7
IMG_1027,2024.6;2024.7
IMG_1033,2024.6;2024.7
IMG_1034,2024.6;2024.7
IMG_1038,2024.6;2024.7
IMG_1045,2024.6;2024.7
IMG_1053,2024.6;2024.7
IMG_1054,2024.6;2024.7
IMG_1055,2024.6;2024.7
IMG_1059,2024.6;2024.7
IMG_1062,2024.6;2024.7
IMG_1064,2024.5;2024.6;2024.7
IMG_1066,2024.6;2024.7
IMG_1069,2024.6;2024.7
IMG_1073,2024.6;2024.7
IMG_1077-2,2024.6;2024.7
IMG_1084,2024.6;2024.7
IMG_1090,2024.6;2024.7
IMG_1092,2024.6;2024.7
IMG_1099,2024.6;2024.7
IMG_1100,2024.6;2024.7
IMG_1103,2024.6;2024.7
IMG_1104,2024.6;2024.7
IMG_1106,2024.6;2024.7
IMG_1109,2024.6;2024.7
IMG_1110,2024.6;2024.7
IMG_1112,2024.6;2024.7
IMG_1117,2024.6;2024.7
IMG_1117-2,2024.6;2024.7
IMG_1118,2024.6;2024.7
IMG_1120,2024.6;2024.7
IMG_1121,2024.6;2024.7
IMG_1122,2024.6;2024.7
IMG_1123,2024.6;2024.7
IMG_1124,2024.6;2024.7
IMG_1124-2,2024.6;2024.7
IMG_1125,2024.6;2024.7
IMG_1126,2024.6;2024.7
IMG_1127,2024.6;2024.7
IMG_1127-2,2024.6;2024.7
IMG_1128,2024.6;2024.7
IMG_1128-2,2024.6;2024.7
IMG_1129,2024.6;2024.7
IMG_1129-2,2024.6;2024.7
IMG_1131,2024.6;2024.7
IMG_1133,2024.6;2024.7
IMG_1133-2,2024.6;2024.7
IMG_1134,2024.6;2024.7
IMG_1135,2024.6;2024.7
IMG_1136,2024.6;2024.7
IMG_1137,2024.6;2024.7
IMG_1137-2,2024.6;2024.7
IMG_1138,2024.6;2024.7
IMG_1139,2024.6;2024.7;2025.2
IMG_1140,2024.6;2024.7
IMG_1141,2024.6;2024.7
IMG_1146,2024.6;2024.7
IMG_1148,2024.6;2024.7
IMG_1148-2,2024.6;2024.7
IMG_1150,2024.6;2024.7
IMG_1152,2024.6;2024.7
IMG_1152-2,2024.6;2024.7
IMG_1153,2024.6;2024.7
IMG_1156,2024.6;2024.7
IMG_1157,2024.6;2024.7;2025.2
IMG_1158-2,2024.6;2024.7
IMG_1159,2024.6;2024.7;2025.2
IMG_1160,2024.6;2024.7
IMG_1161,2024.6;2024.7
IMG_1165,2024.6;2024.7
IMG_1166,2024.6;2024.7
IMG_1167,2024.6;2024.7
IMG_1179,2024.6;2024.7
IMG_1182,2024.6;2024.7
IMG_1183,2024.6;2024.7
IMG_1184,2024.6;2024.7
IMG_1185,2024.6;2024.7;2025.2
IMG_1188,2024.6;2024.7
IMG_1197,2024.6;2024.7;2025.2
IMG_1198,2024.6;2024.7
IMG_1199,2024.6;2024.7
IMG_1200,2024.6;2024.7
IMG_1201,2024.6;2024.7
IMG_1203-2,2024.6;2024.7
IMG_1207,2024.6;2024.7;2025.2
IMG_1209,2024.6;2024.7
IMG_1210,2024.6;2024.7
IMG_1211,2024.6;2024.7
IMG_1213,2024.6;2024.7
IMG_1214,2024.6;2024.7
IMG_1234,2024.7;2025.2
IMG_1236,2024.7;2025.2
IMG_1239,2024.7;2025.2
IMG_1241,2024.7;2025.2
IMG_1587,2024.7;2025.2
IMG_1605,2024.6;2025.2
IMG_1610,2024.7;2025.2
IMG_1618,2024.7;2025.2
IMG_1620,2024.7;2025.2
IMG_1622,2024.7;2025.2
IMG_1623,2024.7;2025.2
IMG_1640,2024.7;2025.2
IMG_1641,2024.7;2025.2
IMG_1642,2024.7;2025.2
IMG_1714,2024.7;2025.2
IMG_1748,2024.7;2025.2
IMG_1777,2024.7;2025.2
IMG_1787,2024.5;2024.7
IMG_1805,2024.7;2024.8
IMG_1806,2024.7;2024.8
IMG_1825,2024.7;2024.8
IMG_1904,2024.5;2024.8
IMG_1905,2024.5;2025.2
IMG_1945,2024.8;2025.2
IMG_1946,2024.8;2025.2
IMG_1950,2024.8;2025.2
IMG_1999,2024.8;2025.2
IMG_2038,2024.8;2025.2
IMG_2051,2024.8;2025.2
IMG_2052,2024.5;2025.2
IMG_2106,2024.8;2025.2
IMG_2153,2024.5;2025.2
IMG_2169,2024.5;2025.2
IMG_2194,2024.8;2025.2
IMG_2198,2024.8;2025.2
IMG_2207,2024.5;2025.2
IMG_2210,2023.1;2025.2
IMG_2216,2023.1;2025.2
IMG_2598,2023.1;2025.2
IMG_2603,2023.1;2025.2
IMG_2645,2024.5;2025.2
IMG_2663,2024.5;2025.2
IMG_2696,2025.1;2025.2
IMG_2703,2025.1;2025.2
IMG_2706,2025.1;2025.2
IMG_2709,2025.1;2025.2
IMG_2710,2025.1;2025.2
IMG_2717,2023.1;2025.2
IMG_2724,2025.1;2025.2
IMG_2757,2024.5;2025.2
IMG_2781,2024.5;2025.1
IMG_2792,2025.1;2025.2
IMG_2794,2025.1;2025.2
IMG_2804,2024.5;2025.1
IMG_2806,2023.1;2024.5
IMG_2811,2023.1;2025.1;2025.2
IMG_2840,2025.1;2025.2
IMG_2872,2024.5;2025.1
IMG_2873,2024.5;2025.1;2025.2
IMG_2884,2023.1;2025.2
IMG_2889,2024.5;2025.2
IMG_3023,2023.1;2025.1
IMG_3050,2023.1;2025.1
IMG_3114,2023.1;2025.1
IMG_3120,2023.1;2025.1
IMG_3124,2023.1;2025.2
IMG_3210,2023.1;2025.2
IMG_3212,2024.5;2025.2
IMG_3242,2024.5;2025.2
IMG_3243,2023.1;2025.2
IMG_3247,2023.1;2025.2
IMG_3249,2024.5;2025.2
IMG_3277,2024.5;2025.2
IMG_3282,2024.5;2025.2
IMG_3290,2023.1;2025.2
IMG_3291,2024.5;2025.2
IMG_3307,2023.1;2024.2;2024.5
IMG_3308,2024.2;2024.5
IMG_3313,2024.5;2025.2
IMG_3357,2024.5;2025.2
IMG_3359,2023.1;2024.5
IMG_3363,2024.5;2025.2
IMG_3374,2023.1;2025.2
IMG_3403,2024.5;2025.2
IMG_3433,2023.1;2025.2
IMG_3442,2023.1;2025.2
IMG_3479,2023.1;2025.2
IMG_3522,2023.1;2025.2
IMG_3537,2023.1;2025.2
IMG_3539,2023.1;2025.2
IMG_3544,2023.1;2025.2
IMG_3571,2023.1;2025.2
IMG_3575,2023.1;2025.2
IMG_3586,2023.1;2025.2
IMG_3601,2023.1;2025.2
IMG_3616,2023.1;2025.2
IMG_3623,2023.1;2025.2
IMG_3631,2023.1;2025.2
IMG_3648,2023.1;2025.2
IMG_3649,2023.1;2025.2
IMG_3659,2023.1;2025.2
IMG_3904,2023.1;2025.2
IMG_3959,2023.2;2025.2
IMG_3961,2023.2;2025.2
IMG_3962,2023.2;2025.2
IMG_3972,2023.2;2025.2
IMG_4015,2023.2;2025.2
IMG_4020,2023.2;2025.2
IMG_4059,2023.2;2025.2
IMG_4068,2023.2;2025.2
IMG_4083,2023.2;2025.2
IMG_4087,2023.2;2025.2
IMG_4159,2024.5;2025.2
IMG_4174,2024.5;2025.2
IMG_4685,2023.2;2025.2
IMG_4854,2024.5;2025.2
IMG_4858,2024.5;2025.2
IMG_4859,2024.5;2025.2
IMG_4860,2024.5;2025.2
IMG_4861,2024.5;2025.2
IMG_4863,2024.5;2025.2
IMG_4868,2024.5;2025.2
IMG_4874,2024.5;2025.2
IMG_4877,2024.5;2025.2
IMG_4913,2024.5;2025.2
IMG_4924,2024.5;2025.2
IMG_4938,2024.5;2025.2
IMG_4961,2024.5;2025.2
IMG_5008,2024.5;2025.2
IMG_5010,2024.5;2025.2
IMG_5011,2024.5;2025.2
IMG_5063,2024.1;2025.2
IMG_5072,2024.1;2024.5
IMG_5082,2023.2;2024.5
IMG_5102,2023.2;2025.2
IMG_5103,2023.2;2025.2
IMG_5107,2024.1;2025.2
IMG_5159,2024.1;2024.5
IMG_5167,2024.1;2025.2
IMG_5184,2024.1;2024.5
IMG_5206,2024.5;2025.2
IMG_5218,2024.2;2024.5;2025.2
IMG_5236,2024.1;2024.5
IMG_5258,2024.1;2024.5
IMG_5272,2024.1;2025.2
IMG_5279,2024.1;2025.2
IMG_5283,2024.1;2024.5
IMG_5285,2024.5;2025.2
IMG_5286,2024.5;2025.2
IMG_5300,2024.2;2025.2
IMG_5313,2024.2;2024.5;2025.2
IMG_5323,2024.5;2025.2
IMG_5328,2024.2;2025.2
IMG_5342,2024.2;2025.2
IMG_5358,2024.2;2025.2
IMG_5363,2024.5;2025.2
IMG_5368,2024.5;2025.2
IMG_5381,2024.5;2025.2
IMG_5393,2025.1;2025.2
IMG_5395,2025.1;2025.2
IMG_5398,2024.5;2025.2
IMG_5576,2024.5;2025.2
IMG_5584,2025.1;2025.2
IMG_5637,2024.5;2025.2
IMG_5680,2024.2;2025.2
IMG_5692,2024.2;2025.2
IMG_5694,2024.5;2025.2
IMG_5701,2024.2;2025.2
IMG_5712,2024.2;2025.2
IMG_5722,2024.5;2025.2
IMG_5723,2024.5;2025.2
IMG_5724,2024.5;2025.2
IMG_5725,2024.2;2025.2
IMG_5726,2024.2;2025.2
IMG_5734,2024.5;2025.2
IMG_5735,2024.5;2025.2
IMG_5736,2024.5;2025.2
IMG_5740,2024.2;2025.2
IMG_5744,2024.2;2025.2
IMG_5746,2024.2;2024.5;2025.2
IMG_5749,2024.2;2025.2
IMG_5754,2024.2;2025.2
IMG_5756,2024.5;2025.2
IMG_5758,2024.5;2025.2
