issue,year,half_year,trip,stem,category,species,expected_folder,detail,xmp_path
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5708,(none),,2023.1,found in: 2024.3;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5708.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5744,(none),,2023.1,found in: 2024.1;2024.6,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5744.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5749,(none),,2023.1,found in: 2024.3;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5749.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5767,(none),,2023.1,found in: 2024.3;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5767.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5813,(none),,2023.1,found in: 2024.3;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5813.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5857,(none),,2023.1,found in: 2024.3;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5857.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5932,(none),,2023.1,found in: 2024.3;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5932.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C5998,(none),,2023.1,found in: 2024.3;2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C5998.xmp
ambiguous,2023,2023.1,2023-03-07 西溪花间堂,_Z9C6071,(none),,2023.1,found in: 2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-07 西溪花间堂/_Z9C6071.xmp
ambiguous,2023,2023.1,2023-03-09 西湖国宾馆,_D5D6417,(none),,2023.1,found in: 2022;2024.1,data/xmp/result-2023/raw/2023.1/2023-03-09 西湖国宾馆/_D5D6417.xmp
ambiguous,2023,2023.1,2023-03-09 西湖国宾馆,_D5D6518,bird,dark-eyed junco,2023.1,found in: 2018.2;2023.2,data/xmp/result-2023/raw/2023.1/2023-03-09 西湖国宾馆/_D5D6518.xmp
ambiguous,2023,2023.1,2023-03-09 西湖国宾馆,_D5D6636,(none),,2023.1,found in: 2021.6;2024.3;2024.5,data/xmp/result-2023/raw/2023.1/2023-03-09 西湖国宾馆/_D5D6636.xmp
ambiguous,2023,2023.1,2023-03-09 西湖国宾馆,_Z9C6298,(none),,2023.1,found in: 2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-09 西湖国宾馆/_Z9C6298.xmp
ambiguous,2023,2023.1,2023-03-09 西湖国宾馆,_Z9C6320,(none),,2023.1,found in: 2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-09 西湖国宾馆/_Z9C6320.xmp
ambiguous,2023,2023.1,2023-03-13 瓯飞集团,_D5D7086,bird,south island takahē,2023.1,found in: 2018.4;2024.3,data/xmp/result-2023/raw/2023.1/2023-03-13 瓯飞集团/_D5D7086.xmp
ambiguous,2023,2023.1,2023-03-13 瓯飞集团,_D5D7140,bird,common redshank,2023.1,found in: 2018.4;2021.1,data/xmp/result-2023/raw/2023.1/2023-03-13 瓯飞集团/_D5D7140.xmp
ambiguous,2023,2023.1,2023-03-26 锦江&花园饭店,_Z9C7161,(none),,2023.1,found in: 2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-26 锦江&花园饭店/_Z9C7161.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7287,(none),,2023.1,found in: 2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7287.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7291,(none),,2023.1,found in: 2024.6;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7291.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7318,(none),,2023.1,found in: 2024.4;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7318.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7324,(none),,2023.1,found in: 2024.6;2024.7,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7324.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7333,(none),,2023.1,found in: 2024.6;2024.7;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7333.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7336,(none),,2023.1,found in: 2024.6;2024.7;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7336.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7337,(none),,2023.1,found in: 2024.6;2024.7;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7337.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7338,(none),,2023.1,found in: 2024.6;2024.7;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7338.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7339,(none),,2023.1,found in: 2024.6;2024.7,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7339.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7343,(none),,2023.1,found in: 2024.6;2024.7;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7343.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7347,(none),,2023.1,found in: 2024.6;2024.7;2025.2,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7347.xmp
ambiguous,2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7348,(none),,2023.1,found in: 2024.6;2024.7,data/xmp/result-2023/raw/2023.1/2023-03-27 美术馆&前滩/_Z9C7348.xmp
