jpg_resolves_now,reason,year,half_year,trip,stem,verdict,jpg_path,xmp_path
True,no keywords + missing JPEG in CSV,2018,2018.1,2018-01-06 锦江饭店,_DSC3034,ok,data/jpg/2018.1/_DSC3034.jpg,data/xmp/result-2018/raw/2018.1/2018-01-06 锦江饭店/_DSC3034.xmp
True,no keywords + missing JPEG in CSV,2018,2018.1,2018-01-06 锦江饭店,_DSC3120,ok,data/jpg/2018.1/_DSC3120.jpg,data/xmp/result-2018/raw/2018.1/2018-01-06 锦江饭店/_DSC3120.xmp
True,no keywords + missing JPEG in CSV,2018,2018.1,2018-01-06 锦江饭店,_DSC3458,ok,data/jpg/2018.1/_DSC3458.jpg,data/xmp/result-2018/raw/2018.1/2018-01-06 锦江饭店/_DSC3458.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7217,ok,data/jpg/2019.4/_D5C7217.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7217.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7232,ok,data/jpg/2019.4/_D5C7232.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7232.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7245,ok,data/jpg/2019.4/_D5C7245.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7245.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7250,ok,data/jpg/2019.4/_D5C7250.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7250.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7279,ok,data/jpg/2019.4/_D5C7279.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7279.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7281,ok,data/jpg/2019.4/_D5C7281.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7281.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D5C7285,ok,data/jpg/2019.4/_D5C7285.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D5C7285.xmp
