year,half_year,trip,stem,verdict,expected_folder,found_folders,species,in_csv_as_missing_jpeg
2023,2023.1,2023-03-09 西湖国宾馆,_D5D6518,ambiguous,2023.1,2018.2;2023.2,dark-eyed junco,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D7086,ambiguous,2023.1,2018.4;2024.3,south island takahē,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D7140,ambiguous,2023.1,2018.4;2021.1,common redshank,False
2023,2023.1,2023-04-10 奉贤,_D5D7835,ambiguous,2023.1,2018.7;2021.3,greater crested tern,False
2023,2023.1,2023-04-10 奉贤,_D5D7862,ambiguous,2023.1,2018.4;2021.3,greater crested tern,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D8580,ambiguous,2023.1,2018.4;2021.3,greater crested tern,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D9123,ambiguous,2023.1,2018.4;2024.1,common kingfisher,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D9246,ambiguous,2023.1,2018.3;2021.5,gyrfalcon,False
2024,2024.3,2024-04-26 Tamar Wetland,_D5D4350,ambiguous,2024.3,2018.5;2021.3,curlew sandpiper,False
2024,2024.4,2024-05-01 Gold Coast,_D5D7086,ambiguous,2024.4,2018.4;2024.3,south island takahē,False
2024,2024.4,2024-05-01 Gold Coast,_D5D7278,ambiguous,2024.4,2018.5;2024.3,common myna,False
2024,2024.4,2024-05-04 Eastern Side of NZL South,_D5D9607,ambiguous,2024.4,2018.3;2021.1,tufted duck,False
2024,2024.4,2024-05-04 Eastern Side of NZL South,_D5D9752,ambiguous,2024.4,2018.4;2021.3,yellow-browed warbler,False
2025,2025.2,2025-06-10 Sahara Desert,_D5C6125,ambiguous,2025.2,2019.2;2019.4;2025.3,long-tailed duck,False
2025,2025.3,2025-07-08 Flåm,_D5C0984,ambiguous,2025.3,2019.1;2025.2,sparrow finch,False
2025,2025.3,2025-07-14.1 St. Johnsfjorden,_D5C3166,ambiguous,2025.3,2019.1;2025.1,brown thrasher,False
2025,2025.4,2025-07-18 Ny Ålesund and Kongsbreen,_D5C6951,ambiguous,2025.4,2018.5;2021.5,willet,False
2025,2025.4,2025-07-18 Ny Ålesund and Kongsbreen,_D5C7281,ambiguous,2025.4,2018.5;2019.4;2025.2,greylag goose,False
2025,2025.4,2025-07-18 Ny Ålesund and Kongsbreen,_D5C8036,ambiguous,2025.4,2018.7;2025.1,american white pelican,False
2025,2025.4,2025-07-18 Ny Ålesund and Kongsbreen,_D5C8095,ambiguous,2025.4,2018.7;2021.5,redshank,False
2019,2019.8,2019-06-08 山公园,_D5V0886,no_jpg,2019.8,,brahminy kite,False
2020,2020,2020-11-11 泰顺,_V9A7468,off_folder_cross_year,2020,2022,yellow-legged gull,False
2023,2023.1,2023-03-06 西溪花间堂,_Z9C5653,off_folder_cross_year,2023.1,2024.1,mallard ducks,False
2023,2023.1,2023-03-07 西溪花间堂,_Z9C5864,off_folder_cross_year,2023.1,2024.1,white-throated kingfisher,False
2023,2023.1,2023-03-07 西溪花间堂,_Z9C5905,off_folder_cross_year,2023.1,2024.6,black-footed albatross,False
2023,2023.1,2023-03-07 西溪花间堂,_Z9C5908,off_folder_cross_year,2023.1,2025.2,galah,False
2023,2023.1,2023-03-07 西溪花间堂,_Z9C5939,off_folder_cross_year,2023.1,2025.2,green turaco,False
2023,2023.1,2023-03-09 西湖国宾馆,_D5D6420,off_folder_cross_year,2023.1,2022,lapwing,False
2023,2023.1,2023-03-09 西湖国宾馆,_D5D6585,off_folder_cross_year,2023.1,2022,eurasian coot,False
2023,2023.1,2023-03-09 西湖国宾馆,_D5D6618,off_folder_cross_year,2023.1,2024.5,eurasian eagle-owl,False
2023,2023.1,2023-03-09 西湖国宾馆,_Z9C6248,off_folder_cross_year,2023.1,2024.6,fulmar,False
2023,2023.1,2023-03-09 西湖国宾馆,_Z9C6256,off_folder_cross_year,2023.1,2024.6,snow petrel,False
2023,2023.1,2023-03-09 西湖国宾馆,_Z9C6266,off_folder_cross_year,2023.1,2024.6,ivory gull,False
2023,2023.1,2023-03-10 西湖国宾馆,_D5D6759,off_folder_cross_year,2023.1,2024.1,white-eyed duck,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D6896,off_folder_cross_year,2023.1,2021.6,common buzzard,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D6953,off_folder_cross_year,2023.1,2021.2,olive warbler,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D6996,off_folder_cross_year,2023.1,2021.2,buff-throated warbler,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D7089,off_folder_cross_year,2023.1,2021.2,oriental magpie-robin,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D7261,off_folder_cross_year,2023.1,2021.2,yellow-bellied prinia,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D7312,off_folder_cross_year,2023.1,2024.4,magpie-lark,False
2023,2023.1,2023-03-13 瓯飞集团,_D5D7361,off_folder_cross_year,2023.1,2024.5,mallard,False
2023,2023.1,2023-03-13 瓯飞集团,_Z9C6748,off_folder_cross_year,2023.1,2024.1,eurasian curlew,False
2023,2023.1,2023-03-26 锦江&花园饭店,_Z9C7125,off_folder_cross_year,2023.1,2024.6,adélie penguin colony,False
2023,2023.1,2023-03-26 锦江&花园饭店,_Z9C7131,off_folder_cross_year,2023.1,2024.6,atlantic puffin colony on coastal rocks,False
2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7288,off_folder_cross_year,2023.1,2025.2,white stork,False
2023,2023.1,2023-03-27 美术馆&前滩,_Z9C7328,off_folder_cross_year,2023.1,2025.2,yellow-legged gull,False
2023,2023.1,2023-04-10 奉贤,_D5D7552,off_folder_cross_year,2023.1,2024.2,slavonian grebe,False
2023,2023.1,2023-04-10 奉贤,_D5D7687,off_folder_cross_year,2023.1,2021.4,dusky thrush,False
2023,2023.1,2023-04-10 奉贤,_D5D7814,off_folder_cross_year,2023.1,2021.3,greater crested tern,False
2023,2023.1,2023-05-09 富春山居,_V9A1011,off_folder_cross_year,2023.1,2021.4,common moorhen chicks,False
2023,2023.1,2023-05-13 苏州 平江路,_V9A1051,off_folder_cross_year,2023.1,2021.4,white-rumped shama,False
2023,2023.1,2023-05-13 苏州 平江路,_V9A1067,off_folder_cross_year,2023.1,2021.4,eurasian turtle dove,False
2023,2023.1,2023-05-13 苏州 平江路,_V9A1115,off_folder_cross_year,2023.1,2021.4,mountain imperial pigeon,False
2023,2023.1,2023-05-21 自行车赛,_Z9C8586,off_folder_cross_year,2023.1,2025.3,arctic tern,False
2023,2023.1,2023-06-06 一尺花园,_Z9C9135,off_folder_cross_year,2023.1,2024.1,demoiselle crane,False
2023,2023.1,2023-06-06 一尺花园,_Z9C9174,off_folder_cross_year,2023.1,2024.7,black skimmer,False
2023,2023.1,2023-06-09 宁波 老外滩,_Z9C9203,off_folder_cross_year,2023.1,2024.7,lesser black-backed gull,False
2023,2023.1,2023-06-10 普陀山,_Z9C9322,off_folder_cross_year,2023.1,2025.3,common murre,False
2023,2023.1,2023-06-10 普陀山,_Z9C9375,off_folder_cross_year,2023.1,2025.3,black guillemot,False
2023,2023.1,2023-06-10 普陀山,_Z9C9379,off_folder_cross_year,2023.1,2025.3,black guillemot,False
2023,2023.1,2023-06-10 普陀山,_Z9C9389,off_folder_cross_year,2023.1,2025.2,mute swan with cygnets,False
2023,2023.1,2023-06-11 宁波,_Z9C9450,off_folder_cross_year,2023.1,2024.1,white-eyed duck,False
2023,2023.1,2023-06-11 宁波,_Z9C9463,off_folder_cross_year,2023.1,2025.2,common wood pigeon,False
2023,2023.1,2023-06-11 宁波,_Z9C9479,off_folder_cross_year,2023.1,2024.1,lesser scaup,False
2023,2023.1,2023-06-11 宁波,_Z9C9515,off_folder_cross_year,2023.1,2024.7,rufous-collared sparrow,False
2023,2023.1,2023-08-17 Muir & Sausalito Tour,_Z9C9785,off_folder_cross_year,2023.1,2024.7,magellanic penguin,False
2023,2023.1,2023-08-17 Muir & Sausalito Tour,_Z9C9826,off_folder_cross_year,2023.1,2024.7,northern gannet,False
2023,2023.1,2023-08-17 Muir & Sausalito Tour,_Z9C9840,off_folder_cross_year,2023.1,2024.7,brown pelican,False
2023,2023.1,2023-08-17 Muir & Sausalito Tour,_Z9C9891,off_folder_cross_year,2023.1,2024.2,white-vented myna,False
2023,2023.1,2023-08-17 Muir & Sausalito Tour,_Z9C9899,off_folder_cross_year,2023.1,2024.7,northern gannet,False
2023,2023.1,2023-08-17 Muir & Sausalito Tour,_Z9C9904,off_folder_cross_year,2023.1,2025.3,ivory gull,False
2023,2023.1,2023-08-22 Sophie's Backyard,_D5D8409,off_folder_cross_year,2023.1,2021.4,grey flycatcher,False
2023,2023.1,2023-08-22 Sophie's Backyard,_D5D8425,off_folder_cross_year,2023.1,2021.6,red kite,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D8472,off_folder_cross_year,2023.1,2024.2,tufted duck,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D8496,off_folder_cross_year,2023.1,2021.6,dusky flycatcher,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D8622,off_folder_cross_year,2023.1,2024.3,blue crane,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D8698,off_folder_cross_year,2023.1,2022,water pipit,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D8716,off_folder_cross_year,2023.1,2021.3,greater crested tern,False
2023,2023.1,2023-08-23 Honolulu Birds,_D5D9045,off_folder_cross_year,2023.1,2024.4,new zealand fantail,False
